old_issue_id,new_customer_question_id,issue_name
19022,626,UPDATED,"Одобренный РМРС. Расчет АОТ"
18040,627,UPDATED,"Установка шумоглушителей в пом. кондиционера АС-1"
18055,628,UPDATED,"требуется корректировка размеров в  ч-же"
18479,629,UPDATED,"Датчики температуры"
18480,630,UPDATED,"Слив гудрона"
18482,631,UPDATED,"Охладитель топлива"
19037,632,UPDATED,"1) не установить спасательный круг с линем 2)устройства для хранения"
22983,633,UPDATED,"Окраска анодного экрана"
22930,635,UPDATED,"Расположение люков"
19070,636,UPDATED,"нет возможности установить позиции 101 и 102 в АСДГ и пом. тнсенератора"
18037,637,UPDATED,"Не соответствие ПДСП чертежа с РКД."
11934,638,UPDATED,"-Анулирования новой ревизии чертежа ."
18502,639,UPDATED,"нанесение маркировки на клюза"
15948,640,UPDATED,"-Зашивка амиачной системы ."
17992,641,UPDATED,"Несоответствие узла сварки"
18529,643,UPDATED,"Установка шпилек"
18810,644,UPDATED,"Узел крепления водяных радиаторов и мебели в жилых и технических помещениях по судну"
19124,648,UPDATED,"Сварка трубопроводов п. 082 и п. 083"
19125,649,UPDATED,"Подвеска РИДФ.301525.006 Тип II"
19129,651,UPDATED,"200101-263-4001.1"
18560,652,UPDATED,"Цинкование патрубков"
10208,653,UPDATED,"01701.513.500 Корректировка чертежа для сдачи регистру, в связи с несоответствием его выполненным работам"
22665,655,UPDATED,"Отсутствует информация"
9873,663,UPDATED,"03070-810-001"
19151,665,UPDATED,"Альбом труб"
16296,666,UPDATED,"-Уточнение толщины полос"
18580,667,UPDATED,"Размеры для установки патрубков"
19157,668,UPDATED,"П.0506 П.0507"
17432,669,UPDATED,"Не указана марка материала в чертеже."
18202,670,UPDATED,"Зарядное устройство АКБ"
18203,671,UPDATED,"Нагревательный кабель"
17311,672,UPDATED,"Уточнение материала и размеров"
10160,673,UPDATED,"-Коректировка размешение книц"
9857,674,UPDATED,"03070-882-7001(чертеж не получен, номер взят с з.402)"
10867,675,UPDATED,"Внесения изменений в чертеж согласно выполненной доработке. Пом. РМУ"
22984,676,UPDATED,"Внести изменение в чертеж высоты от палуб."
11967,678,UPDATED,"-Программа ШИ."
19178,679,UPDATED,"требуется выпуск ОР"
18845,680,UPDATED,"Изменить узел крепления изоляции подволока грузового трюма"
19182,681,UPDATED,"Изменение координатах п: 0035, 0036, 0046, 0047."
14055,683,UPDATED,"Монтаж гидроблока в помещении кладовой ЗИП"
12477,684,UPDATED,"Актуальны чертежи ?"
12481,685,UPDATED,"мальгогер другого исполнения"
10032,686,UPDATED,"СЗ  №1078 от 25.06.19_эскиз фунд-та редуктора в РМУ      СЗ     №82_08.07.2022"
14283,687,UPDATED,"Перенос фундамента"
22325,688,UPDATED,"Раскрой деталей."
22326,689,UPDATED,"Раскрой деталей."
19213,690,UPDATED,"Трубопровод п. 375"
14661,691,UPDATED,"-отработка чертежей"
10218,692,UPDATED,"-Ведомость арматуры"
18678,693,UPDATED,"Вертикальные трапы"
11830,694,UPDATED,"- Дороботка чертежа"
18686,695,UPDATED,"Разработка документа"
14510,698,UPDATED,"-Корректировка систем вентиляции и кондиционирования жилых помещениях"
19253,699,UPDATED,"Выреза"
23066,701,UPDATED,"Демонтаж пиллерсов и перенос двери."
8787,702,UPDATED,"Арматура"
16093,704,UPDATED,"-Перенос жалюзей поз. 25"
11519,705,UPDATED,"Корректировка чертежа"
17766,706,UPDATED,"Место установки ШУ Транспортёра краба и стоповой кнопки"
9927,707,UPDATED,"Штормовые крышки иллюминаторов / Emergency blind covers"
9902,708,UPDATED,"-не соответствие с регистровым ч-ж"
17760,710,UPDATED,"Переименование помещений"
17720,711,UPDATED,"Вент. решетку DN160 не установить по координатам DN100."
22010,712,UPDATED,"сточный колодец попадает на трубу."
8717,713,UPDATED,"-"
17708,714,UPDATED,"Обслуживания (замена лампы) топового огня"
8404,716,UPDATED,"-"
8403,717,UPDATED,"-"
15556,721,UPDATED,"Установка обеззараживания воды в пом. хранения краба (трюм)"
19316,722,UPDATED,"Соответсвие РКД и ПДС с ОТТ"
14634,723,UPDATED,"-фундамент под  грузовую стрелу"
15941,724,UPDATED,"Распределительный щит Р45. Установка"
22021,725,UPDATED,"демонтаж переборки"
14333,726,UPDATED,"Монтаж осевых вентиляторов и противопожарных захлопок"
19368,727,UPDATED,"Толщина изоляции"
10284,728,UPDATED,"-Слив со стабилизационного танка."
9966,729,UPDATED,"Замена материала"
23513,733,UPDATED,"Насыщение цистерн 16PS,16C"
22033,736,UPDATED,"NR008-400-001"
9997,737,UPDATED,"Системы газовыхлопов ДГ, ВДГ, АДГ, котла и инсинератора"
14560,738,UPDATED,"Перестановка заказа 2221 на стапеле"
10173,739,UPDATED,"Консервация замкнутых отсеков (Voids to be preserved)."
10027,740,UPDATED,"03095-751-001_rev2_зам2"
16032,741,UPDATED,"Клапан на холодильной установке центрального кондиционера"
18385,742,UPDATED,"арматура мешает эксплуатации трапа по назначению (вид К-К)"
7887,743,UPDATED,"гибочные шаблоны"
18415,744,UPDATED,"Согласовать чертеж с РМРС"
11748,745,UPDATED,"Поставка маховика п.43  8-10 недель"
11947,746,UPDATED,"Чертеж на монтаж тепловентиляторов"
10190,747,UPDATED,"Трассировка труб. НЕТ координат трубопроводов и арматуры."
18433,748,UPDATED,"Скуловые кили"
10091,749,UPDATED,"-Тех. выреза"
10093,750,UPDATED,"-Перенос лебедок"
23481,751,UPDATED,"Подключение душевых трапов"
13758,752,UPDATED,"можно ли брать в работу?"
13761,753,UPDATED,"Превышение толщины листов 1561 s10."
13774,754,UPDATED,"УП-198. Гидравлика промысловых и палубных механизмов"
17146,755,UPDATED,"Замена толщины металла 200101-304-002 (установка приемных решеток кингстонных ящиков)"
14074,757,UPDATED,"-можно ли применять на 404 и 405"
11039,758,UPDATED,"and"
14199,759,UPDATED,"-стеллажи в провизионных кладовых"
14234,760,UPDATED,"Погрузка АДГ"
11951,761,UPDATED,"Дублирование номера чертежей."
14540,763,UPDATED,"некорректная СП."
14537,764,UPDATED,"03070-263-0043"
12489,765,UPDATED,"-Уточнение по чертежу ."
14643,766,UPDATED,"Чертеж общего расположения подруливающего устройства"
14678,767,UPDATED,"-несоответствие ч-жей"
15553,768,UPDATED,"Проработать тех вырез под гидроблок"
15809,769,UPDATED,"Бытовая пресная вода (редактирование чертежа)"
15981,770,UPDATED,"-нет установочных размеров на ПУ."
16029,771,UPDATED,"-гирокомпас"
14601,772,UPDATED,"-настил в водоподготовке"
17352,773,UPDATED,"Сварка рубки сек.613"
17384,774,UPDATED,"Расположение горловин"
23098,775,UPDATED,"Грузовой люк на траловой палубе 43-49шп. ПрБ."
10746,776,UPDATED,"- пары круговых огней на мачте п. 8, 9, 10  ч. 01701.427.500, лучи огней пересекают друг-друга."
12471,777,UPDATED,"-Изменение вентиляции салон-столовой."
10342,778,UPDATED,"-Испытания воздушных и измерительных трубопроводов"
17500,779,UPDATED,"Выпуск чертежа приемных решеток"
16045,780,UPDATED,"-корректировка чертежа"
14043,781,UPDATED,"-актуальность ч-жа"
10055,782,UPDATED,"-ИСУТС"
10940,783,UPDATED,"-Схема кантовки"
14497,784,UPDATED,"-как обойти трубу"
14538,786,UPDATED,"тех.вырез между  пом 215 и 218"
23283,787,UPDATED,"Доработка существующего вент канала"
17711,788,UPDATED,"Установка шлюпки"
16204,789,UPDATED,"Неправильные габариты в крайнем кормовом сечении (-6шп.+200)"
17390,790,UPDATED,"Тип сварки швеллера настила в морозильном трюме"
16186,791,UPDATED,"-корректировка ПДСП"
17748,792,UPDATED,"Размещение грелки в помещении №307"
9860,793,UPDATED,"Доп.вопрос к вопросу №6"
14659,794,UPDATED,"-нет возможности установить протектора"
17829,795,UPDATED,"Размещение оборудования в пом. ГРЩ (137)"
17761,796,UPDATED,"Перенос позиций из пом. 302 в пом. 303."
9870,797,UPDATED,"03070-810-001"
17619,798,UPDATED,"03070-891-001Э4"
17762,799,UPDATED,"Уточнение границ цистерн"
14508,800,UPDATED,"-корректировка чертежа в связи с заменой дверей"
10116,801,UPDATED,"- С-ма сигнализации утечек фреона"
10029,802,UPDATED,"03095.362155.5004СБ_Изм.А"
