old_issue_id,new_document_id,new_issue_task_id,issue_name
3815,130,170,"ПРИВАРНОЙ ВЕНТ. КАНАЛ В ПОМЕЩЕНИИ РУЛЕВОЙ РУБКИ (ПОМ.7302, 6309)"
10713,131,171,"Система авральной сигнализации и командной трансляции_411-413"
18166,132,172,"ВЕДОМОСТЬ ЗАКАЗА ЭСН (ЭЛЕКТРО-СЛЕСАРНОЕ НАСЫЩЕНИЕ)"
18168,133,173,"Система обмыва ВД"
4506,134,174,"УСТАНОВКА КОНДИЦИОНЕРОВ. ПАЛУБА НАДСТРОЙКИ 3 ЯР."
21935,135,175,"УСТАНОВКА ЛЮКА НА ВЕРХНЕЙ ПАЛУБЕ БАКА 800x900"
5187,136,176,"К 170701-306-001 УСТАНОВКА СЛИПОВЫХ ВОРОТ"
7419,137,177,"УСТАНОВКА ТРАСС МАГИСТРАЛЬНЫХ КАБЕЛЕЙ НИЖЕ ПАЛУБЫ 1"
21934,138,178,"КАПИТАНСКИЙ ШПИГАТ"
7555,139,179,"УСТАНОВКА ЭЛЕКТРООБОРУДОВАНИЯ И ПРОКЛАДКА КАБЕЛЯ С ИХ КРЕПЛЕНИЯМИ В ПОМЕЩЕНИИ ШОКОВОЙ ЗАМОРОЗКИ, ПАЛУБА 1"
7499,140,180,"ХОЛОДИЛЬНАЯ УСТАНОВКА ПРОВИЗИОННЫХ КЛАДОВЫХ. СХЕМА ЭЛЕКТРИЧЕСКАЯ СОЕДИНЕНИЙ"
9327,141,181,"Пятка баллера руля"
18139,142,182,"ВЕДОМОСТЬ ЭЛЕКТРОМЕХАНИЧЕСКОГО СНАБЖЕНИЯ"
10716,143,183,"Машинный телеграф. Схема электрическая соединений_411-413"
7552,144,184,"АЛЬБОМ СХЕМ ЩИТОВ СИЛОВОЙ СЕТИ"
21936,145,185,"УСТАНОВКА ЛЮКА НА НИЖНЕЙ ПАЛУБЕ БАКА 1200x1125"
7263,146,186,"СИСТЕМА ОХЛАЖДЕНИЯ ЗАБОРТНОЙ ВОДОЙ. ТРУБОПРОВОД ОПРЕСНИТЕЛЬНЫХ УСТАНОВОК"
19047,147,187,"СХЕМА УПРАВЛЕНИЯ РАСХОДОМЕРАМИ. СХЕМА ЭЛЕКТРИЧЕСКАЯ СОЕДИНЕНИЙ"
7009,148,188,"ФУНДАМЕНТ ПОДОГРЕВАТЕЛЯ СИСТЕМЫ ОТОПЛЕНИЯ 577.003"
5679,149,189,"ФУНДАМЕНТА 170701-263-0119"
18171,150,190,"РАСЧЕТ ПРОЧНОСТИ БИМСА ПАЛУБЫ В РАЙОНЕ РЫБОФАБРИКИ, ПРБ"
54,151,191,"СЕКЦИЯ 242"
